HC_ID,year,month_full,month,day,date,proposal,status,text,Link,article_source_id,From,from_name,from_latitude,from_longitude,from_adm1_code_full,from_adm1_nr,from_adm1_name,from_country_code,To,to_name,to_latitude,to_longitude,to_adm1_code_full,to_adm1_nr,to_adm1_name,to_country_code
1,2022,May,5,3,2022-05-03,Agreed,disputed,"Status: disputed; disputed; MOSCOW. March 5 (Interfax) - Russian forces have declared the opening of humanitarian passages at 10 a.m. Moscow time on Saturday and a ceasefire that would enable civilians to leave Mariupol and Volnovakha. ""Humanitarian passages and exit routes have been coordinated with the Ukrainian side,"" the ministry said. ;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has said he can confirm that a ceasefire has been agreed to facilitate the evacuation of residents of Volnovakha and Mariupol starting 9:00 a.m. Kyiv Time (10:00 a.m. Moscow Time). ;;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has announced the establishment of a ceasefire from 9:00 a.m. to 4:00 p.m. Kyiv Time (10:00 a.m. to 17:00 a.m. Moscow Time), with the evacuation of civilians from Mariupol starting at 11:00 a.m. Kyiv Time.""Officially. A humanitarian corridor has been established along the following route: Mariupol - Mykilske - Rozivka - Polohy - Orikhiv - Zaporizhzhya,"" Kyrylenko wrote on his Telegram channel on Saturday morning. KYIV. March 5 (Interfax-Ukraine) - Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk has announced the establishment of a humanitarian corridor from Volnovakha and Mariupol to evacuate local civilians.
 ""Via the International Committee of the Red Cross's (ICRC) mediation, we agreed upon the routes, the movement of a column, and a plan for the delivery of humanitarian cargo, and we have obtained confirmation from the Russian side,"" Vereshchuk said at a press briefing on Saturday.
 Ukraine plans to evacuate over 200,000 people along the Mariupol - Mykilske - Rozivka - Bilmak - Polohe - Orikhiv - Zaporizhzhya route and over 15,000 people along the Volnovakha - Valeryanivka - Novoandriyivka - Kyrylivka - Vuhledar - Pokrovsk - Zaporizhzhya route, Vereshchuk said.
 The ICRC is acting as a guarantor of the ceasefire during the evacuation, Vereshchuk said.  see source: https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79069,src-64,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
2,2022,May,5,3,2022-05-03,Agreed,disputed,"Status: disputed; disputed; MOSCOW. March 5 (Interfax) - Russian forces have declared the opening of humanitarian passages at 10 a.m. Moscow time on Saturday and a ceasefire that would enable civilians to leave Mariupol and Volnovakha. ""Humanitarian passages and exit routes have been coordinated with the Ukrainian side,"" the ministry said. ;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has said he can confirm that a ceasefire has been agreed to facilitate the evacuation of residents of Volnovakha and Mariupol starting 9:00 a.m. Kyiv Time (10:00 a.m. Moscow Time). ;;;;; KYIV. March 5 (Interfax-Ukraine) - Pavlo Kyrylenko, head of the Donetsk regional military-civilian administration (subordinated to Kyiv), has announced the establishment of a ceasefire from 9:00 a.m. to 4:00 p.m. Kyiv Time (10:00 a.m. to 17:00 a.m. Moscow Time), with the evacuation of civilians from Mariupol starting at 11:00 a.m. Kyiv Time.""Officially. A humanitarian corridor has been established along the following route: Mariupol - Mykilske - Rozivka - Polohy - Orikhiv - Zaporizhzhya,"" Kyrylenko wrote on his Telegram channel on Saturday morning. KYIV. March 5 (Interfax-Ukraine) - Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk has announced the establishment of a humanitarian corridor from Volnovakha and Mariupol to evacuate local civilians.
 ""Via the International Committee of the Red Cross's (ICRC) mediation, we agreed upon the routes, the movement of a column, and a plan for the delivery of humanitarian cargo, and we have obtained confirmation from the Russian side,"" Vereshchuk said at a press briefing on Saturday.
 Ukraine plans to evacuate over 200,000 people along the Mariupol - Mykilske - Rozivka - Bilmak - Polohe - Orikhiv - Zaporizhzhya route and over 15,000 people along the Volnovakha - Valeryanivka - Novoandriyivka - Kyrylivka - Vuhledar - Pokrovsk - Zaporizhzhya route, Vereshchuk said.
 The ICRC is acting as a guarantor of the ceasefire during the evacuation, Vereshchuk said.  see source: https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79070",https://interfax.com/newsroom/top-stories/75561/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75577/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75579/?sphrase_id=79069 ;;; https://interfax.com/newsroom/top-stories/75602/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75616/?sphrase_id=79070,src-208,Volnovakha,Volnovakha,47.60103,37.49674,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
33,2022,September,9,3,2022-09-03,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; Russia submitted an initiative to the Ukrainian authorities to open ten humanitarian corridors on March 9 to evacuate civilians and foreign citizens from Kyiv, Chernihiv, Sumy, Kharkiv, and Mariupol, including a humanitarian corridor from each of these cities leading to Russia and one corridor from each of these cities transiting Kyiv-controlled territories to Poland, Moldova and Romania, he said.
 ""Only three routes were agreed: one from Kyiv to the south, one from Sumy to Poltava and one from Mariupol to Zaporizhzhya. But another three were proposed: from Enerhodar to Zaporizhzhya, from Volnovakha to Pokrovsk, and from Izyum to Lozova,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/76105/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/76105/?sphrase_id=79069,src-23,Sumy,Sumy,50.9216,34.80029,UA.21,21,Sumy,UA,Poltava,Poltava,49.62417,38.12374,UA.14,14,Luhansk,UA
34,2022,September,9,3,2022-09-03,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; Russia submitted an initiative to the Ukrainian authorities to open ten humanitarian corridors on March 9 to evacuate civilians and foreign citizens from Kyiv, Chernihiv, Sumy, Kharkiv, and Mariupol, including a humanitarian corridor from each of these cities leading to Russia and one corridor from each of these cities transiting Kyiv-controlled territories to Poland, Moldova and Romania, he said.
 ""Only three routes were agreed: one from Kyiv to the south, one from Sumy to Poltava and one from Mariupol to Zaporizhzhya. But another three were proposed: from Enerhodar to Zaporizhzhya, from Volnovakha to Pokrovsk, and from Izyum to Lozova,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/76105/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/76105/?sphrase_id=79069,src-23,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
76,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Bohdanivka,Bohdanivka,49.85,24.43333,UA.15,15,Lviv Oblast,UA,Brovary,Brovary,50.51809,30.80671,UA.13,13,Kiev,UA
77,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Novobohdanivka,Novobohdanivka,46.64567,35.02493,UA.26,26,Zaporizhzhya Oblast,UA,Brovary,Brovary,50.51809,30.80671,UA.13,13,Kiev,UA
78,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Peremoha,Peremoha,47.22425,32.51268,UA.16,16,Mykolayiv Oblast,UA,Brovary,Brovary,50.51809,30.80671,UA.13,13,Kiev,UA
79,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Bobryk,Bobryk,51.13333,31.78333,UA.02,2,Chernihiv,UA,Brovary,Brovary,50.51809,30.80671,UA.13,13,Kiev,UA
80,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Hostomel,Hostomel,50.56841,30.2651,UA.13,13,Kiev,UA,Bilohorodka,Bilohorodka,50.31667,25.55,UA.19,19,Rivne,UA
82,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Vorzel,Vorzel,50.5444,30.15305,UA.13,13,Kiev,UA,Bilohorodka,Bilohorodka,50.31667,25.55,UA.19,19,Rivne,UA
